activity_identifier,sector_code,vocabulary,percentage
XM-DAC-46007-301839,21020,1,100
XM-DAC-46007-302253,15130,1,100
XM-DAC-46007-302270,31140,1,100
XM-DAC-46007-302302,14021,1,100
XM-DAC-46007-302349,21020,1,100
XM-DAC-46007-302411,14030,1,100
XM-DAC-46007-302441,12191,1,100
XM-DAC-46007-302443,15130,1,50
XM-DAC-46007-302443,15180,1,50
XM-DAC-46007-302457,15130,1,100
XM-DAC-46007-500022,14020,1,100
XM-DAC-46007-500035,43081,1,50
XM-DAC-46007-500035,43082,1,50
XM-DAC-46007-500179,21020,1,100
XM-DAC-46007-500189,15130,1,100
XM-DAC-46007-500192,16010,1,50
XM-DAC-46007-500192,12191,1,50
XM-DAC-46007-500208,14022,1,100
XM-DAC-46007-500213,14020,1,100
XM-DAC-46007-500218,23630,1,100
XM-DAC-46007-500240,21020,1,100
XM-DAC-46007-500248,23630,1,100
XM-DAC-46007-500267,14022,1,50
XM-DAC-46007-500267,43060,1,50
XM-DAC-46007-500270,12230,1,100
XM-DAC-46007-500271,12191,1,33.3333333333333
XM-DAC-46007-500271,12181,1,33.3333333333333
XM-DAC-46007-500271,12182,1,33.3333333333333
XM-DAC-46007-500276,14022,1,100
XM-DAC-46007-500316,43060,1,50
XM-DAC-46007-500316,21020,1,50
XM-DAC-46007-500338,31140,1,50
XM-DAC-46007-500338,14040,1,50
XM-DAC-46007-500346,21050,1,100
XM-DAC-46007-500349,21040,1,100
XM-DAC-46007-500357,21020,1,100
XM-DAC-46007-500422,21020,1,50
XM-DAC-46007-500422,43060,1,50
XM-DAC-46007-500426,11120,1,100
XM-DAC-46007-500429,14020,1,100
XM-DAC-46007-500436,21030,1,100
XM-DAC-46007-500437,21020,1,100
XM-DAC-46007-500446,11120,1,100
XM-DAC-46007-500451,16065,1,25
XM-DAC-46007-500451,43030,1,25
XM-DAC-46007-500451,16066,1,25
XM-DAC-46007-500451,11120,1,25
XM-DAC-46007-500459,12191,1,50
XM-DAC-46007-500459,15130,1,50
XM-DAC-46007-500470,21020,1,100
XM-DAC-46007-500507,16040,1,100
XM-DAC-46007-500537,24030,1,100
XM-DAC-46007-500569,12264,1,100
XM-DAC-46007-500626,23630,1,100
XM-DAC-46007-500627,23630,1,100
XM-DAC-46007-500634,11120,1,100
XM-DAC-46007-500636,21020,1,100
XM-DAC-46007-500640,14021,1,100
XM-DAC-46007-500645,32130,1,14.2857142857142
XM-DAC-46007-500645,16040,1,14.2857142857142
XM-DAC-46007-500645,11120,1,14.2857142857142
XM-DAC-46007-500645,12230,1,14.2857142857142
XM-DAC-46007-500645,31120,1,14.2857142857142
XM-DAC-46007-500645,12264,1,14.2857142857142
XM-DAC-46007-500645,21020,1,14.2857142857142
XM-DAC-46007-500646,14020,1,100
XM-DAC-46007-500669,32130,1,100
XM-DAC-46007-500701,12191,1,33.3333333333333
XM-DAC-46007-500701,12264,1,33.3333333333333
XM-DAC-46007-500701,12230,1,33.3333333333333
XM-DAC-46007-500705,15180,1,100
XM-DAC-46007-500734,32168,1,100
XM-DAC-46007-500744,15111,1,20
XM-DAC-46007-500744,41082,1,20
XM-DAC-46007-500744,23110,1,20
XM-DAC-46007-500744,16010,1,20
XM-DAC-46007-500744,16020,1,20
XM-DAC-46007-500749,43060,1,50
XM-DAC-46007-500749,21020,1,50
XM-DAC-46007-500791,31193,1,100
XM-DAC-46007-500818,15130,1,100
XM-DAC-46007-500832,21030,1,100
XM-DAC-46007-500834,21020,1,100
XM-DAC-46007-500860,21020,1,100
XM-DAC-46007-500864,13010,1,50
XM-DAC-46007-500864,15136,1,50
XM-DAC-46007-500901,72010,1,50
XM-DAC-46007-500901,21020,1,50
XM-DAC-46007-500930,43060,1,25
XM-DAC-46007-500930,14021,1,25
XM-DAC-46007-500930,31140,1,25
XM-DAC-46007-500930,23220,1,25
XM-DAC-46007-500940,43072,1,100
XM-DAC-46007-500995,12230,1,100
XM-DAC-46007-501078,21020,1,100
XM-DAC-46007-501079,31193,1,100
XM-DAC-46007-501108,21020,1,100
XM-DAC-46007-501114,21020,1,100
XM-DAC-46007-501128,14020,1,33.3333333333333
XM-DAC-46007-501128,14050,1,33.3333333333333
XM-DAC-46007-501128,14015,1,33.3333333333333
XM-DAC-46007-501138,21020,1,50
XM-DAC-46007-501138,14022,1,50
XM-DAC-46007-501140,23630,1,100
XM-DAC-46007-501142,14021,1,100
XM-DAC-46007-501148,43072,1,100
XM-DAC-46007-501149,11120,1,100
XM-DAC-46007-501151,43060,1,50
XM-DAC-46007-501151,23220,1,50
XM-DAC-46007-501159,43060,1,50
XM-DAC-46007-501159,21040,1,50
XM-DAC-46007-501162,43060,1,0.6
XM-DAC-46007-501162,14022,1,46
XM-DAC-46007-501162,14050,1,53.4
XM-DAC-46007-501187,12191,1,100
XM-DAC-46007-501217,43030,1,2.12909349536845
XM-DAC-46007-501217,14022,1,17.1533393514777
XM-DAC-46007-501217,43060,1,1.62306628419418
XM-DAC-46007-501217,21020,1,79.0945008689597
XM-DAC-46007-501218,43030,1,99.49
XM-DAC-46007-501218,43060,1,0.51
XM-DAC-46007-501220,31210,1,100
XM-DAC-46007-501226,23630,1,100
XM-DAC-46007-501227,41010,1,100
XM-DAC-46007-501238,14021,1,100
XM-DAC-46007-501239,43072,1,100
XM-DAC-46007-501243,43060,1,0.473821369343757
XM-DAC-46007-501243,21020,1,99.5261786306562
XM-DAC-46007-501247,24030,1,100
