activity_identifier,org_ref,org_name,org_name_lang,org_type,role,activity_id,crs_channel_code
44000-P145054,44002,International Development Association,,40,1,,
44000-P145054,AF–ORP0013838,Afghanistan,,,2,,
44000-P145054,TJ–ORP0013839,Republic of Tajikistan,,,2,,
44000-P145054,PK–ORP0013840,Islamic Republic of Pakistan,,,2,,
44000-P145054,KG–ORP0013841,Kyrgyz Republic,,,2,,
44000-P145054,44002,International Development Association,,40,3,,
44000-P145054,AF–ORP0013842,Da Afghanistan Breshna Sherkat,,,4,,
44000-P145054,KG–ORP0013843,National Electric Grid of Kyrgyzstan,,,4,,
44000-P145054,TJ–ORP0013844,Barki Tajik,,,4,,
44000-P145054,PK–ORP0013845,National Transmission and Despatch Company (NTDC),,,4,,
44000-P126193,44001,International Bank for Reconstruction and Development,,40,1,,
44000-P126193,BT–ORP0006338,"Ministry of Finance, Royal Government of Bhutan",,,2,,
44000-P126193,44001,International Bank for Reconstruction and Development,,40,3,,
44000-P126193,44002,International Development Association,,40,1,,
44000-P126193,44002,International Development Association,,40,3,,
44000-P126193,BT–ORP0006337,"Wildlife Conservation Division, Department of Forests and Park Services",,,4,,
44000-P121210,44002,International Development Association,,40,1,,
44000-P121210,NP–ORP0004243,"Economic Relations Division, Ministry of Finance",,,2,,
44000-P121210,NP–ORP0004244,Ministry of Finance,,,2,,
44000-P121210,44002,International Development Association,,40,3,,
44000-P121210,–ORP0004239,Bangladesh Forest Department,,,4,,
44000-P121210,–ORP0004240,Department of Forests,,,4,,
44000-P121210,–ORP0004241,Department of National Parks and Wildlife Conservation,,,4,,
44000-P121210,–ORP0004242,Ministry of Environment and Forests,,,4,,
44000-P171269,44002,International Development Association,,40,1,,
44000-P171269,LK–ORP0041898,The South Asia Cooperative Environment Programme (SACEP),,,2,,
44000-P171269,LK–ORP0041899,South Asia Cooperative Environment Programme,,,2,,
44000-P171269,44002,International Development Association,,40,3,,
44000-P171269,LK–ORP0056274,SACEP,,,4,,
44000-P171054,44002,International Development Association,,40,1,,
44000-P171054,TH–ORP0041546,The Regional Integrated Multi-Hazard Early Warning System for Africa and Asia (RIMES),,,2,,
44000-P171054,TH–ORP0041547,Asian Disaster Preparedness Center (ADPC),,,2,,
44000-P171054,44002,International Development Association,,40,3,,
44000-P171054,TH–ORP0041548,The Regional Integrated Multi-Hazard Early Warning System for Africa and Asia (RIMES),,,4,,
44000-P171054,TH–ORP0041549,Asian Disaster Preparedness Center (ADPC),,,4,,
