activity_identifier,result_ref,result_type,aggregation_status,title,description
44000-P145054,result_1,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_3,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_4,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_5,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_6,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_7,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_8,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_9,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_10,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_11,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_12,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_13,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_14,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_15,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_16,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_17,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_18,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_19,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_20,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_21,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_22,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_23,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_24,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_25,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_26,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_27,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_28,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_29,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_30,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_31,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_32,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_1,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_3,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_4,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_5,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_6,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_7,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_8,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_9,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_10,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_11,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_12,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_13,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_14,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_15,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_16,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_17,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_18,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_19,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_20,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_21,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_22,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_23,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_24,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_25,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_26,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_27,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_28,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_1,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_3,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_4,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_5,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_6,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_7,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_8,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_9,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_10,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_11,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_12,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_13,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_14,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_15,1,0,"
 Intermediate Results Indicator 
				",
